locus_tag	gene	product
karp_00165	aNKYR	Ankyrin repeat
karp_00275	NA	Ankyrin repeat protein with 5 ankyrin repeats
karp_00310	aNKYR	Ankyrin repeat
karp_00390	NA	Ankyrin repeat-containing protein
karp_00550	aNKYR	Ankyrin repeat
karp_00700	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00795	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00965	NA	Ankyrin repeat-containing protein 09
karp_00975	NA	Ankyrin repeat-containing protein 16
karp_01295	NA	Ankyrin repeat-containing protein
karp_01985	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02025	NA	PRANC domain-containing protein
karp_02145	NA	Ankyrin repeat-containing protein 19
karp_02480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02595	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_02720	NA	Ankyrin repeat-containing protein 16
karp_03345	NA	Ankyrin repeat-containing protein 09
karp_03435	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
karp_03745	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_03860	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_04320	NA	Ankyrin repeat-containing protein 09
karp_04800	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_04895	aNKYR	Ankyrin repeat
karp_05015	NA	Ankyrin repeat-containing protein 16
karp_05035	NA	Ankyrin repeat-containing protein
karp_05365	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_05630	NA	Ankyrin repeat family protein
karp_05965	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_05990	aNKYR	Ankyrin repeat
karp_06480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_06950	NA	Ankyrin repeat-containing protein
karp_07110	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_07245	NA	Ankyrin repeat-containing protein 16
karp_07425	aNKYR	Ankyrin repeat
karp_07655	NA	Ankyrin repeat protein with 8 ankyrin repeats
karp_07705	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_07975	NA	Ankyrin repeat-containing protein 09
karp_08120	aNKYR	Ankyrin repeat
karp_08230	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08480	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08515	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_08625	NA	Ankyrin repeat-containing protein 09
karp_08740	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09025	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09070	NA	Ankyrin repeat-containing protein 09
karp_09135	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_09205	NA	Ankyrin repeat-containing protein
karp_09650	NA	Ankyrin repeat protein with 14 ankyrin repeats
karp_09760	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_10105	NA	Ankyrin repeat-containing protein 16
karp_10185	NA	Ankyrin repeat-containing protein 14
karp_10225	aNKYR	Ankyrin repeat
karp_10300	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_10840	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_11350	NA	Ankyrin repeat protein with 14 ankyrin repeats
karp_11480	NA	Ankyrin repeat-containing protein 09
karp_11630	aNKYR	Ankyrin repeat
karp_11735	NA	Ankyrin repeat-containing protein 16
karp_11860	aNKYR	Ankyrin repeat
karp_12290	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_12605	aNKYR	Ankyrin repeat
karp_12790	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_13090	NA	Ankyrin repeat-containing protein
