locus_tag	gene	product
boryong_00145	NA	tetratricopeptide repeat protein
boryong_00150	NA	tetratricopeptide repeat protein
boryong_00610	NA	Tetratricopeptide repeat protein with 2 trp repeats
boryong_00645	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_00745	NA	TPR repeat-containing protein 08
boryong_00750	NA	tetratricopeptide repeat protein
boryong_01260	NA	hypothetical protein
boryong_02940	NA	Glycosyl transferase family 8
boryong_03590	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_04115	NA	Tetratricopeptide repeat protein with 8 trp repeats
boryong_06290	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_06685	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_06850	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_06895	NA	Tetratricopeptide repeat protein with 2 trp repeats
boryong_07370	NA	SycD/LcrH family type III secretion system chaperone
boryong_07670	NA	TPR repeat-containing protein 08
boryong_07675	NA	tetratricopeptide repeat protein
boryong_07715	NA	TPR repeat-containing protein 03
boryong_08805	NA	tetratricopeptide repeat protein
boryong_08810	NA	TPR repeat-containing protein 08
boryong_09500	NA	Tetratricopeptide repeat protein with 8 trp repeats
boryong_10490	NA	TPR repeat-containing protein 08
boryong_10495	NA	tetratricopeptide repeat protein
boryong_11315	NA	TPR repeat-containing protein 01_07
boryong_11585	bamD	outer membrane protein assembly factor BamD
boryong_11735	NA	Tetratricopeptide repeat protein with 5 trp repeats
gilliam_00785	NA	TPR repeat-containing protein 03
gilliam_01525	NA	Tetratricopeptide repeat family protein
gilliam_01670	NA	TPR repeat-containing protein 03
gilliam_01675	NA	SycD/LcrH family type III secretion system chaperone
gilliam_01700	NA	Tetratricopeptide repeat family protein
gilliam_01900	NA	TPR repeat-containing protein 08
gilliam_02095	NA	Tetratricopeptide repeat family protein
gilliam_02130	NA	SycD/LcrH family type III secretion system chaperone
gilliam_02265	NA	TPR repeat-containing protein 08
gilliam_02575	traG	conjugal transfer protein TraG
gilliam_03310	NA	TPR repeat-containing protein 08
gilliam_04030	NA	TPR repeat-containing protein 08
gilliam_04120	NA	TPR repeat-containing protein 08
gilliam_04155	NA	SycD/LcrH family type III secretion system chaperone
gilliam_04295	NA	Tetratricopeptide repeat family protein
gilliam_04335	NA	TPR repeat family protein
gilliam_04405	NA	SycD/LcrH family type III secretion system chaperone
gilliam_04435	NA	Tetratricopeptide repeat family protein
gilliam_05220	NA	Glycosyl transferase family 8
gilliam_05245	traG	conjugal transfer protein TraG
gilliam_05960	NA	TPR repeat-containing protein 08
gilliam_05995	pilW	type IV pilus biogenesis/stability protein PilW
gilliam_06260	bamD	outer membrane protein assembly factor BamD
gilliam_06430	NA	TPR repeat-containing protein 08
gilliam_06625	pilW	type IV pilus biogenesis/stability protein PilW
gilliam_06665	NA	Conjugal transfer protein TraG
gilliam_06720	NA	Conjugal transfer protein TraG
gilliam_07410	pilW	type IV pilus biogenesis/stability protein PilW
gilliam_07440	NA	TPR repeat-containing protein 08
gilliam_07560	NA	TPR repeat-containing protein 08
gilliam_07885	pilW	type IV pilus biogenesis/stability protein PilW
gilliam_07915	NA	TPR repeat-containing protein 08
gilliam_07975	NA	SycD/LcrH family type III secretion system chaperone
gilliam_08555	NA	SycD/LcrH family type III secretion system chaperone
gilliam_08775	NA	TPR repeat-containing protein 08
gilliam_09370	NA	TPR repeat-containing protein 08
gilliam_09395	NA	SycD/LcrH family type III secretion system chaperone
gilliam_10055	NA	Glycosyl transferase family 8
gilliam_10090	NA	Tetratricopeptide repeat family protein
gilliam_10300	NA	Conjugal transfer protein TraG
gilliam_10715	NA	TPR repeat-containing protein 08
gilliam_10750	pilW	type IV pilus biogenesis/stability protein PilW
gilliam_12190	NA	TPR repeat-containing protein 01_05
gilliam_12380	NA	TPR repeat-containing protein 08
gilliam_12410	NA	SycD/LcrH family type III secretion system chaperone
gilliam_12840	NA	TPR repeat-containing protein 08
gilliam_13045	NA	TPR repeat-containing protein 03
gilliam_13065	NA	FAT domain protein
gilliam_13295	NA	TPR repeat-containing protein 08
gilliam_13415	NA	TPR repeat family protein
gilliam_13520	tPR	Tetratricopeptide (TPR) repeat
ikeda_00690	tPR	TPR repeat-containing protein 02_01
ikeda_00970	bamD	outer membrane protein assembly factor BamD
ikeda_01310	NA	SycD/LcrH family type III secretion system chaperone
ikeda_01905	tPR	TPR repeat-containing protein 02_01
ikeda_02275	NA	TPR repeat-containing protein 01_07
ikeda_03735	NA	Tetratricopeptide repeat protein with 5 trp repeats
ikeda_04065	tPR	Tetratricopeptide (TPR) repeat
ikeda_04930	traG	conjugal transfer protein TraG
ikeda_06265	NA	TPR repeat-containing protein 01_04
ikeda_06270	NA	TPR repeat-containing protein 01_05
ikeda_06520	NA	TPR repeat-containing protein 01_07
ikeda_06960	NA	hypothetical protein
ikeda_06965	tPR	TPR repeat-containing protein 02_02
ikeda_08030	NA	TPR repeat-containing protein 03
ikeda_08490	NA	TPR repeat-containing protein 01_07
ikeda_09215	tPR	Tetratricopeptide (TPR) repeat
ikeda_09470	NA	SycD/LcrH family type III secretion system chaperone
ikeda_10400	NA	TPR repeat-containing protein 01_07
karp_00485	NA	TPR repeat-containing protein 08
karp_00635	pilW	type IV pilus biogenesis/stability protein PilW
karp_00740	NA	TPR repeat-containing protein 03
karp_01005	NA	TPR repeat-containing protein 08
karp_01040	pilW	type IV pilus biogenesis/stability protein PilW
karp_01270	NA	TPR repeat-containing protein 03
karp_02220	NA	TPR repeat-containing protein 08
karp_02395	NA	TPR repeat-containing protein 03
karp_02650	NA	SycD/LcrH family type III secretion system chaperone
karp_02695	NA	TPR repeat-containing protein 08
karp_03465	pilW	type IV pilus biogenesis/stability protein PilW
karp_03595	pilW	type IV pilus biogenesis/stability protein PilW
karp_04295	NA	TPR repeat-containing protein 03
karp_04940	pilW	type IV pilus biogenesis/stability protein PilW
karp_04985	NA	TPR repeat-containing protein 08
karp_05285	NA	TPR repeat-containing protein 08
karp_05520	bamD	outer membrane protein assembly factor BamD
karp_05665	NA	TPR repeat-containing protein 03
karp_05670	NA	TPR repeat-containing protein 03
karp_06025	NA	TPR repeat-containing protein 08
karp_06560	NA	TPR repeat-containing protein 08
karp_07160	pilW	type IV pilus biogenesis/stability protein PilW
karp_07475	NA	TPR repeat-containing protein 08
karp_07585	NA	TPR repeat-containing protein 03
karp_07740	pilW	type IV pilus biogenesis/stability protein PilW
karp_07785	NA	TPR repeat-containing protein 08
karp_07815	pilW	type IV pilus biogenesis/stability protein PilW
karp_08400	NA	TPR repeat-containing protein 08
karp_08445	pilW	type IV pilus biogenesis/stability protein PilW
karp_08590	NA	Tetratricopeptide repeat family protein
karp_08830	NA	TPR repeat-containing protein 08
karp_09530	pilW	type IV pilus biogenesis/stability protein PilW
karp_09645	NA	TPR repeat-containing protein 03
karp_10465	pilW	type IV pilus biogenesis/stability protein PilW
karp_10835	NA	TPR repeat-containing protein 08
karp_12355	NA	TPR repeat-containing protein 08
karp_12500	NA	TPR repeat-containing protein 08
kato_00080	NA	TPR repeat-containing protein 08
kato_00205	NA	TPR repeat-containing protein 08
kato_00630	NA	TPR repeat-containing protein 08
kato_00790	pilW	type IV pilus biogenesis/stability protein PilW
kato_01045	NA	hypothetical protein
kato_01050	tPR	TPR repeat-containing protein 02_02
kato_01395	NA	SycD/LcrH family type III secretion system chaperone
kato_01750	NA	TPR repeat-containing protein 08
kato_02825	NA	TPR repeat-containing protein 08
kato_03850	NA	TPR repeat-containing protein 08
kato_04080	NA	TPR repeat-containing protein 03
kato_04085	NA	TPR repeat-containing protein 01_07
kato_04115	NA	SycD/LcrH family type III secretion system chaperone
kato_04950	NA	TPR repeat-containing protein 08
kato_05380	tPR	TPR repeat-containing protein 02_01
kato_05640	bamD	outer membrane protein assembly factor BamD
kato_05700	NA	Tetratricopeptide repeat family protein
kato_05880	NA	TPR repeat-containing protein 08
kato_05915	tPR	TPR repeat-containing protein 02_01
kato_06230	NA	SycD/LcrH family type III secretion system chaperone
kato_06275	NA	TPR repeat-containing protein 01_07
kato_06665	NA	SycD/LcrH family type III secretion system chaperone
kato_06920	tPR	Tetratricopeptide (TPR) repeat
