locus_tag	gene	product
karp_00005	dnaA	chromosomal replication initiation protein DnaA
karp_00010	dnaN	DNA polymerase III subunit beta
karp_00015	virB8-2	type VI secretion protein
karp_00020	virB9-2	P-type conjugative transfer protein VirB9
karp_00025	virB10	type VI secretion protein
karp_00030	virB11	type VI secretion protein
karp_00035	virD4	type IV secretion system protein VirD4
karp_00040	NA	IS5 family transposase ISOt6
karp_00045	NA	hypothetical protein
karp_00050	phrB	deoxyribodipyrimidine photo-lyase
karp_00055	trxB	thioredoxin-disulfide reductase
karp_00060	yfdV	AEC family transporter
karp_00065	tolB	translocation protein TolB
karp_00070	lpd	dihydrolipoyl dehydrogenase
karp_00075	ubiE	SAM-dependent methyltransferase
karp_00080	tsa22	major outer membrane protein TSA22
karp_00085	NA	Conjugal transfer protein TraA
karp_00090	traA	conjugal transfer protein TraA
karp_00095	traA	conjugal transfer protein TraA
karp_00100	NA	Reverse transcriptase
karp_00105	NA	ATP-binding protein
karp_00110	baeS	histidine kinase
karp_00115	NA	ATP-binding protein
karp_00120	dam	DNA methyltransferase
karp_00125	NA	hypothetical protein
karp_00130	NA	DDE superendonuclease family protein
karp_00135	NA	Conjugal transfer protein TraD
karp_00140	NA	transposase
karp_00145	NA	(P)pGpp hydrolase
karp_00150	dnaB	Replicative DNA helicase
karp_00155	NA	DnaA-N domain-containing protein
karp_00160	dnaB	replicative DNA helicase
karp_00165	aNKYR	Ankyrin repeat
karp_00170	NA	Putative ompA-like autotransporter
karp_00175	dam	DNA methyltransferase
karp_00180	NA	Membrane protein
karp_00185	NA	IS982 family transposase
karp_00190	NA	hypothetical protein
karp_00195	NA	Putative transposase
karp_00200	NA	Transposase
karp_00205	mdlB	multidrug ABC transporter ATP-binding protein
karp_00210	pyrH	UMP kinase
karp_00215	mraY	phospho-N-acetylmuramoyl-pentapeptide- transferase
karp_00220	murF	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanine ligase
karp_00225	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-di aminopimelate ligase
karp_00230	pbpA2	penicillin-binding protein
karp_00235	ftsL	Cell division proteinFtsL
karp_00240	rsmH	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
karp_00245	dnaJ	molecular chaperone DnaJ
karp_00250	dnaK	molecular chaperone DnaK
karp_00255	bolA	BolA family transcriptional regulator
karp_00260	fabI	enoyl-ACP reductase
karp_00265	NA	IS630 family transposase
karp_00270	traA	conjugal transfer protein TraA
karp_00275	NA	Ankyrin repeat protein with 5 ankyrin repeats
karp_00280	traA	conjugal transfer protein TraA
karp_00285	traA	conjugal transfer protein TraA
karp_00290	NA	Reverse transcriptase
karp_00295	NA	18 kDa heat shock protein
karp_00300	NA	HNH endonuclease
karp_00305	NA	Conjugal transfer TraD family protein
karp_00310	aNKYR	Ankyrin repeat
karp_00315	spoT	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
karp_00325	NA	Transposase
karp_00330	tnp-IS5	IS5 family transposase
karp_00335	NA	DDE superendonuclease family protein
karp_00340	NA	Transposase
karp_00345	NA	Integrase
karp_00350	NA	Integrase
karp_00355	NA	Integrase
karp_00360	traL	hypothetical protein
karp_00365	NA	Conjugal transfer protein TraE
karp_00370	NA	hypothetical protein
karp_00375	NA	hypothetical protein
karp_00380	NA	Conjugative transfer protein TraC
karp_00385	NA	Conjugal transfer protein TraC
karp_00390	NA	Ankyrin repeat-containing protein
karp_00395	NA	TraU family protein
karp_00400	trbC	type-F conjugative transfer system pilin assembly protein TrbC
karp_00405	traN	conjugal transfer protein TraN
karp_00410	NA	Conjugal transfer protein
karp_00415	NA	Conjugal transfer protein
karp_00420	NA	Conjugal transfer protein TraH
karp_00425	NA	Conjugal transfer protein TraH
karp_00430	traG	conjugal transfer protein TraG
karp_00435	NA	Conjugal transfer protein TraG
karp_00440	NA	hypothetical protein
karp_00445	traD	conjugal transfer protein
karp_00450	NA	transposase
karp_00455	NA	Conjugal transfer protein TraI
karp_00460	traA	conjugal transfer protein TraA
karp_00465	traA	conjugal transfer protein TraA
karp_00470	ltrA	group II intron reverse transcriptase/maturase
karp_00475	ltrA	group II intron reverse transcriptase/maturase
karp_00480	traD	conjugative transfer protein
karp_00485	NA	TPR repeat-containing protein 08
karp_00490	NA	Transposase
karp_00495	putP	sodium:proline symporter
karp_00500	NA	Transposase DDE domain protein
karp_00505	NA	Conjugative transfer protein
karp_00510	midA	SAM-dependent methyltransferase
karp_00515	NA	IS630 family transposase
karp_00520	NA	IS630 family transposase
karp_00525	tim44	transporter
karp_00530	trhO	tRNA U34 5'-hydroxylase TrhO, rhodanese family
karp_00535	NA	DnaA-N domain-containing protein
karp_00540	NA	DnaA-N domain-containing protein
karp_00545	dnaB	replicative DNA helicase
karp_00550	aNKYR	Ankyrin repeat
karp_00555	NA	Putative ompA-like autotransporter
karp_00560	NA	ATP-binding protein
karp_00565	spoT	(p)ppGpp synthase/hydrolase, HD superfamily
karp_00570	NA	transposase
karp_00575	NA	Conjugal transfer protein TraD
karp_00580	traA	conjugal transfer protein TraA
karp_00585	traA	conjugal transfer protein TraA
karp_00590	NA	hypothetical protein
karp_00595	NA	Conjugal transfer protein TraI
karp_00600	NA	Uncharacterized domain associated with phage/plasmid primase
karp_00605	traL	hypothetical protein
karp_00610	NA	Conjugal transfer protein TraE
karp_00615	NA	Conjugal transfer protein TraE
karp_00620	NA	hypothetical protein
karp_00625	NA	DDE superendonuclease family protein
karp_00630	NA	IS5 family transposase ISOt6
karp_00635	pilW	type IV pilus biogenesis/stability protein PilW
karp_00640	NA	hypothetical protein
karp_00645	traD	conjugative transfer protein
karp_00650	traA	conjugal transfer protein TraA
karp_00655	NA	Conjugal transfer protein TraD
karp_00660	NA	transposase
karp_00665	spoT	(p)ppGpp synthase/hydrolase, HD superfamily
karp_00670	NA	(P)pGpp hydrolase
karp_00675	baeS	sensor histidine kinase
karp_00680	baeS	Signal transduction histidine kinase
karp_00685	NA	hypothetical protein
karp_00690	NA	Site-specific DNA-methyltransferase (adenine-specific)
karp_00695	NA	Membrane protein
karp_00700	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00705	spoT	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
karp_00710	dnaB	replicative DNA helicase
karp_00715	dnaB	replicative DNA helicase
karp_00720	traA	conjugal transfer protein TraA
karp_00725	NA	conjugal transfer protein TraN
karp_00730	NA	conjugal transfer protein TraN
karp_00735	NA	IS110-like element ISOt5 family transposase
karp_00740	NA	TPR repeat-containing protein 03
karp_00745	gepA	DUF4065 domain-containing protein
karp_00750	NA	Conjugal transfer protein
karp_00755	rpnC	Recombination-promoting DNA endonuclease RpnC/YadD
karp_00760	NA	Conjugal transfer protein TraI
karp_00765	NA	DDE superendonuclease family protein
karp_00770	NA	DDE superendonuclease family protein
karp_00775	NA	hypothetical protein
karp_00780	NA	Conjugal transfer protein TraI
karp_00785	NA	hypothetical protein
karp_00790	spoT	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
karp_00795	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
karp_00800	NA	Membrane protein
karp_00805	NA	Site-specific DNA-methyltransferase (adenine-specific)
karp_00810	NA	hypothetical protein
karp_00815	NA	ATP-binding protein
karp_00820	baeS	Signal transduction histidine kinase
karp_00825	NA	ATP-binding protein
karp_00830	spoT	(p)ppGpp synthase/hydrolase, HD superfamily
karp_00835	NA	transposase
karp_00840	traD	conjugative transfer protein
karp_00845	traA	conjugal transfer protein TraA
karp_00850	NA	Conjugal transfer protein TraI
karp_00855	NA	Conjugal transfer protein TraI
karp_00860	NA	transposase
karp_00865	NA	conjugal transfer protein
karp_00870	NA	Putative transposase
karp_00875	ykfC	Retron-type reverse transcriptase
karp_00880	xerD	integrase
karp_00885	traL	Uncharacterised protein
karp_00890	NA	Conjugal transfer protein TraE
karp_00895	NA	Conjugal transfer protein TraE
karp_00900	traK1	Uncharacterised protein
karp_00905	traK2	Uncharacterised protein
karp_00910	NA	Conjugal transfer protein
karp_00915	NA	Conjugal transfer protein
karp_00920	traV	Uncharacterised protein
karp_00925	virB4	conjugal transfer protein
karp_00930	NA	Conjugal transfer protein TraC
karp_00935	NA	Conjugal transfer protein TraC
karp_00940	traW	type-F conjugative transfer system protein TraW
karp_00945	NA	hypothetical protein
karp_00950	traU	conjugal transfer protein
karp_00955	trbC	type-F conjugative transfer system pilin assembly protein TrbC
karp_00960	traN	conjugal transfer protein TraN
karp_00965	NA	Ankyrin repeat-containing protein 09
karp_00970	NA	IS110-like element ISOt5 family transposase
karp_00975	NA	Ankyrin repeat-containing protein 16
karp_00980	traF	conjugal transfer protein
karp_00985	NA	Conjugal transfer protein TraH
karp_00990	NA	conjugal transfer protein TraH
karp_00995	NA	Conjugal transfer protein TraH
karp_01000	traG	conjugal transfer protein TraG
karp_01005	NA	TPR repeat-containing protein 08
karp_01010	traD	conjugal transfer protein
karp_01015	rpnC	transposase
karp_01020	NA	Toprim domain protein
karp_01025	traI	conjugal transfer protein TraI
karp_01030	traA	conjugal transfer protein TraA
karp_01035	traD	conjugative transfer protein
karp_01040	pilW	type IV pilus biogenesis/stability protein PilW
karp_01045	NA	Conjugal transfer TraD family protein
karp_01050	NA	transposase
