#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ut76_01395           -          TPR_1                PF00515.32  1.4e-138  445.8 120.8     4e-11   42.3   0.8  16.1  16   0   0  16  16  16  16 -
kato_08130           -          TPR_1                PF00515.32  1.4e-135  436.2 146.2   1.3e-09   37.5   0.7  17.0  17   0   0  17  17  17  17 -
gilliam_10750        -          TPR_1                PF00515.32    2e-122  394.6  96.8   6.8e-08   32.1   1.7  18.1  18   0   0  18  18  18  18 -
karp_00635           -          TPR_1                PF00515.32  2.5e-121  391.1 117.4   3.7e-09   36.1   2.0  16.3  17   0   0  17  17  16  16 -
ut176_00365          -          TPR_1                PF00515.32  3.9e-121  390.5 138.5   1.2e-10   40.8   1.8  14.1  14   0   0  14  14  14  14 -
ut176_04860          -          TPR_1                PF00515.32  3.9e-121  390.5 138.5   1.2e-10   40.8   1.8  14.1  14   0   0  14  14  14  14 -
ut176_05285          -          TPR_1                PF00515.32  3.9e-121  390.5 138.5   1.2e-10   40.8   1.8  14.1  14   0   0  14  14  14  14 -
gilliam_05995        -          TPR_1                PF00515.32  4.6e-121  390.3  91.8   7.7e-10   38.2   0.9  17.1  17   0   0  17  17  17  17 -
ut176_09840          -          TPR_1                PF00515.32  8.7e-121  389.4 137.9   1.2e-10   40.8   1.8  14.1  14   0   0  14  14  14  14 -
gilliam_06625        -          TPR_1                PF00515.32  9.3e-120  386.2  89.4   7.7e-10   38.2   0.9  17.1  17   0   0  17  17  17  17 -
ta686_06495          -          TPR_1                PF00515.32  1.2e-117  379.5 129.0   2.7e-10   39.7   3.0  13.1  13   0   0  13  13  13  13 -
gilliam_07885        -          TPR_1                PF00515.32  1.4e-115  372.9  99.4   2.5e-11   42.9   2.0  13.2  13   0   0  13  13  13  13 -
kato_00790           -          TPR_1                PF00515.32  4.1e-114  368.3 121.0   4.9e-10   38.9   1.7  14.2  14   0   0  14  14  14  14 -
gilliam_09395        -          TPR_1                PF00515.32    1e-108  351.2 118.7   1.4e-10   40.6   3.2  12.2  12   0   0  12  12  12  12 -
ta686_08325          -          TPR_1                PF00515.32  4.1e-105  339.8 106.1     1e-10   41.1   2.7  11.1  11   0   0  11  11  11  11 -
ta686_12460          -          TPR_1                PF00515.32  6.1e-103  332.9 112.8   4.5e-11   42.2   3.5  11.1  11   0   0  11  11  11  11 -
kato_04115           -          TPR_1                PF00515.32   1.2e-99  322.5  95.5   4.9e-09   35.7   1.3  12.2  12   0   0  12  12  12  12 -
kato_08440           -          TPR_1                PF00515.32   1.2e-99  322.5  95.5   4.9e-09   35.7   1.3  12.2  12   0   0  12  12  12  12 -
kato_06665           -          TPR_1                PF00515.32   8.3e-99  319.8 100.7   1.2e-09   37.6   2.9  13.2  13   0   0  13  13  13  13 -
ikeda_01310          -          TPR_1                PF00515.32   5.6e-98  317.2 101.1   1.2e-09   37.6   2.9  13.2  13   0   0  13  13  13  13 -
ut176_04380          -          TPR_1                PF00515.32   5.7e-98  317.2  98.1   7.3e-10   38.3   1.1  12.1  12   0   0  12  12  12  12 -
ut76_10160           -          TPR_1                PF00515.32   9.8e-98  316.5  97.7   1.2e-09   37.6   2.9  13.2  13   0   0  13  13  13  13 -
ta686_00215          -          TPR_1                PF00515.32   1.1e-97  316.3  99.3   1.2e-09   37.6   2.9  13.1  13   0   0  13  13  13  13 -
ta686_05190          -          TPR_1                PF00515.32   1.1e-97  316.3  99.3   1.2e-09   37.6   2.9  13.1  13   0   0  13  13  13  13 -
ut76_03145           -          TPR_1                PF00515.32   2.8e-96  311.9  93.6   4.4e-10   39.0   1.4  12.1  12   0   0  12  12  12  12 -
karp_09530           -          TPR_1                PF00515.32   1.8e-94  306.1  76.7   6.1e-08   32.2   0.5  14.2  14   0   0  14  14  14  14 -
ta686_02040          -          TPR_1                PF00515.32   6.5e-94  304.4  99.1   2.4e-10   39.8   3.6  12.1  12   0   0  12  12  12  12 -
boryong_07370        -          TPR_1                PF00515.32     2e-93  302.8  47.2   7.7e-09   35.1   0.8  12.0  12   0   0  12  12  12  11 -
