locus_tag	gene	product
karp_00485	NA	TPR repeat-containing protein 08
karp_00635	pilW	type IV pilus biogenesis/stability protein PilW
karp_00740	NA	TPR repeat-containing protein 03
karp_01005	NA	TPR repeat-containing protein 08
karp_01040	pilW	type IV pilus biogenesis/stability protein PilW
karp_01270	NA	TPR repeat-containing protein 03
karp_02220	NA	TPR repeat-containing protein 08
karp_02395	NA	TPR repeat-containing protein 03
karp_02650	NA	SycD/LcrH family type III secretion system chaperone
karp_02695	NA	TPR repeat-containing protein 08
karp_03465	pilW	type IV pilus biogenesis/stability protein PilW
karp_03595	pilW	type IV pilus biogenesis/stability protein PilW
karp_04295	NA	TPR repeat-containing protein 03
karp_04940	pilW	type IV pilus biogenesis/stability protein PilW
karp_04985	NA	TPR repeat-containing protein 08
karp_05285	NA	TPR repeat-containing protein 08
karp_05520	bamD	outer membrane protein assembly factor BamD
karp_05665	NA	TPR repeat-containing protein 03
karp_05670	NA	TPR repeat-containing protein 03
karp_06025	NA	TPR repeat-containing protein 08
karp_06560	NA	TPR repeat-containing protein 08
karp_07160	pilW	type IV pilus biogenesis/stability protein PilW
karp_07475	NA	TPR repeat-containing protein 08
karp_07585	NA	TPR repeat-containing protein 03
karp_07740	pilW	type IV pilus biogenesis/stability protein PilW
karp_07785	NA	TPR repeat-containing protein 08
karp_07815	pilW	type IV pilus biogenesis/stability protein PilW
karp_08400	NA	TPR repeat-containing protein 08
karp_08445	pilW	type IV pilus biogenesis/stability protein PilW
karp_08590	NA	Tetratricopeptide repeat family protein
karp_08830	NA	TPR repeat-containing protein 08
karp_09530	pilW	type IV pilus biogenesis/stability protein PilW
karp_09645	NA	TPR repeat-containing protein 03
karp_10465	pilW	type IV pilus biogenesis/stability protein PilW
karp_10835	NA	TPR repeat-containing protein 08
karp_12355	NA	TPR repeat-containing protein 08
karp_12500	NA	TPR repeat-containing protein 08
