locus_tag	gene	product
boryong_00400	NA	Ankyrin repeat protein with 6 ankyrin repeats
boryong_00470	NA	Ankyrin repeat protein with 14 ankyrin repeats
boryong_00565	NA	ankyrin repeat domain-containing protein
boryong_00960	NA	hypothetical protein
boryong_01305	NA	ankyrin repeat domain-containing protein
boryong_01365	NA	Ankyrin repeat protein with 4 ankyrin repeats
boryong_02570	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_02655	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_02720	NA	Ankyrin repeat protein with 3 ankyrin repeats
boryong_03470	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_03945	NA	Ankyrin repeat protein with 4 ankyrin repeats
boryong_05290	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_05395	NA	Ankyrin repeat protein with 6 ankyrin repeats
boryong_05525	NA	Ankyrin repeat protein with 5 ankyrin repeats
boryong_06120	NA	ankyrin
boryong_06550	NA	Ankyrin repeat protein with 8 ankyrin repeats
boryong_06640	NA	ankyrin repeat domain-containing protein
boryong_06745	NA	Ankyrin repeat protein with 4 ankyrin repeats
boryong_06765	NA	Ankyrin repeat protein with 2 ankyrin repeats
boryong_06905	NA	Ankyrin repeat protein with 6 ankyrin repeats
boryong_07125	NA	ankyrin repeat domain-containing protein
boryong_07190	NA	ankyrin repeat domain-containing protein
boryong_07195	NA	ankyrin repeat domain-containing protein
boryong_07635	NA	Ankyrin repeat protein with 4 ankyrin repeats
boryong_08780	NA	Ankyrin repeat protein with 8 ankyrin repeats
boryong_09575	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_09980	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_09990	NA	Ankyrin repeat protein with 12 ankyrin repeats
boryong_11195	NA	ankyrin
boryong_11270	NA	ankyrin repeat domain-containing protein
boryong_12405	NA	Ankyrin repeat protein with 8 ankyrin repeats
gilliam_00265	NA	Ankyrin repeat family protein
gilliam_00395	NA	Ankyrin
gilliam_00870	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_00950	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_01065	NA	Ankyrin repeat family protein
gilliam_01720	NA	Ankyrin repeat-containing protein 09
gilliam_01780	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_01955	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_01985	NA	ankyrin
gilliam_02325	NA	Ankyrin repeat family protein
gilliam_02375	NA	Ankyrin repeat family protein
gilliam_02380	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_02675	NA	Ankyrin repeat family protein
gilliam_02730	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_03220	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_03225	NA	Ankyrin repeat family protein
gilliam_04225	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_05115	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_05280	NA	Ankyrin repeat family protein
gilliam_05380	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_05585	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_05725	NA	Ankyrin repeat-containing protein 13
gilliam_05810	aNKYR	Ankyrin repeat protein with 8 ankyrin repeats
gilliam_06055	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_07485	aNKYR	Ankyrin repeat
gilliam_08030	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_08485	NA	Ankyrin repeat family protein
gilliam_09075	NA	Ankyrin
gilliam_09150	NA	Ankyrin repeat family protein
gilliam_09300	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_10235	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_10580	NA	Ankyrin
gilliam_10605	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_10805	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_10900	NA	Ankyrin repeat-containing protein 09
gilliam_11205	NA	Ankyrin
gilliam_11705	aNKYR	Ankyrin repeat
gilliam_11850	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_12310	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_12765	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_13005	NA	Ankyrin repeat family protein
gilliam_13220	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
gilliam_13740	NA	Ankyrin repeat-containing protein
ikeda_00295	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_00870	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_01195	aNKYR	Ankyrin repeat protein with 6 ankyrin repeats
ikeda_01215	NA	Ankyrin repeat-containing protein 01_02
ikeda_01280	aNKYR	Ankyrin repeat-containing protein 01_02
ikeda_01340	NA	Ankyrin repeat-containing protein 03_02
ikeda_01345	NA	ankyrin repeat domain-containing protein
ikeda_01475	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_01625	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_01690	aNKYR	Ankyrin repeat
ikeda_01815	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
ikeda_02255	aNKYR	Ankyrin repeat
ikeda_02325	NA	Ankyrin repeat-containing protein 01_02
